Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1961,1961,,3701.63,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1962,1962,,3405.5,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1963,1963,,3035.34,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1964,1964,,2887.27,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1965,1965,,2591.14,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1966,1966,,3627.6,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1967,1967,,3627.6,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1968,1968,,3368.48,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1969,1969,,2665.17,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1970,1970,,1702.75,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1971,1971,,1443.64,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1972,1972,,962.42,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1973,1973,,962.42,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1974,1974,,962.42,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1975,1975,,962.42,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1976,1976,,962.42,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1977,1977,,962.42,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1978,1978,,1036.46,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1979,1979,,955.02,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1980,1980,,962.42,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1981,1981,,962.42,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1982,1982,,962.42,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1983,1983,,962.42,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1984,1984,,962.42,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1985,1985,,962.42,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1986,1986,,962.42,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1987,1987,,962.42,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1988,1988,,962.42,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1989,1989,,925.41,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1990,1990,,888.39,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1991,1991,,814.36,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1992,1992,,740.33,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1993,1993,,629.28,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1994,1994,,88.84,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1995,1995,,100.43,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1996,1996,,51.82,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1997,1997,,51.82,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1998,1998,,51.82,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,1999,1999,,51.82,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,2000,2000,,51.82,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,2001,2001,,51.82,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,2002,2002,,51.82,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,2003,2003,,51.82,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,2004,2004,,51.82,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,2005,2005,,51.82,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,2006,2006,,66.63,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,2007,2007,,66.63,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,2008,2008,,59.23,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,2009,2009,,59.23,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,2010,2010,,100.32,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,2011,2011,,100.36,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,2012,2012,,100.41,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,2013,2013,,100.46,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,2014,2014,,100.51,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,2015,2015,,99.3,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,2016,2016,,100.19,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,2017,2017,,98.61,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,2018,2018,,99.37,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,2019,2019,,99.39,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,2020,2020,,94.05,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2212,Raw milk of buffalo,2021,2021,,94.1,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1961,1961,,7.85,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1962,1962,,8.06,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1963,1963,,8.52,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1964,1964,,9.03,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1965,1965,,9.66,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1966,1966,,10.23,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1967,1967,,11.56,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1968,1968,,12,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1969,1969,,13.06,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1970,1970,,14.72,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1971,1971,,17.4,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1972,1972,,18.55,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1973,1973,,21.22,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1974,1974,,21.06,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1975,1975,,21.56,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1976,1976,,22.3,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1977,1977,,24.87,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1978,1978,,27.08,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1979,1979,,28.48,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1980,1980,,29.42,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1981,1981,,31.14,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1982,1982,,31.49,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1983,1983,,32.55,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1984,1984,,32.49,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1985,1985,,29.39,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1986,1986,,30.59,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1987,1987,,33.2,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1988,1988,,35.3,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1989,1989,,36.51,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1990,1990,,42.22,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1991,1991,,42.41,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1992,1992,,48.77,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1993,1993,,53.83,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1994,1994,,64.93,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1995,1995,,79.35,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1996,1996,,89.72,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1997,1997,,70.93,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1998,1998,,72.4,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,1999,1999,,76.32,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,2000,2000,,80.94,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,2001,2001,,84.25,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,2002,2002,,88.06,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,2003,2003,,90.67,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,2004,2004,,91.97,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,2005,2005,,93.27,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,2006,2006,,95.88,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,2007,2007,,87.05,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,2008,2008,,89.76,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,2009,2009,,91.07,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,2010,2010,,96.07,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,2011,2011,,98.65,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,2012,2012,,98.86,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,2013,2013,,100.1,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,2014,2014,,99.69,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,2015,2015,,99.59,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,2016,2016,,100.72,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,2017,2017,,101.5,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,2018,2018,,100.57,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,2019,2019,,97.78,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,2020,2020,,92.7,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,2021,2021,,88.78,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2211,Raw milk of cattle,2022,2022,,85.22,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2292,Raw milk of goats,1961,1961,,53.96,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2292,Raw milk of goats,1962,1962,,55.03,E,Estimated value
QI,Production Indices,8,Albania,432,Gross Production Index Number (2014-2016 = 100),2292,Raw milk of goats,1963,1963,,54.67,E,Estimated value
