Area,Item,Year,Value
Albania,Raw milk of buffalo,1961,3701.63
Albania,Raw milk of buffalo,1962,3405.5
Albania,Raw milk of buffalo,1963,3035.34
Albania,Raw milk of buffalo,1964,2887.27
Albania,Raw milk of buffalo,1965,2591.14
Albania,Raw milk of buffalo,1966,3627.6
Albania,Raw milk of buffalo,1967,3627.6
Albania,Raw milk of buffalo,1968,3368.48
Albania,Raw milk of buffalo,1969,2665.17
Albania,Raw milk of buffalo,1970,1702.75
Albania,Raw milk of buffalo,1971,1443.64
Albania,Raw milk of buffalo,1972,962.42
Albania,Raw milk of buffalo,1973,962.42
Albania,Raw milk of buffalo,1974,962.42
Albania,Raw milk of buffalo,1975,962.42
Albania,Raw milk of buffalo,1976,962.42
Albania,Raw milk of buffalo,1977,962.42
Albania,Raw milk of buffalo,1978,1036.46
Albania,Raw milk of buffalo,1979,955.02
Albania,Raw milk of buffalo,1980,962.42
Albania,Raw milk of buffalo,1981,962.42
Albania,Raw milk of buffalo,1982,962.42
Albania,Raw milk of buffalo,1983,962.42
Albania,Raw milk of buffalo,1984,962.42
Albania,Raw milk of buffalo,1985,962.42
Albania,Raw milk of buffalo,1986,962.42
Albania,Raw milk of buffalo,1987,962.42
Albania,Raw milk of buffalo,1988,962.42
Albania,Raw milk of buffalo,1989,925.41
Albania,Raw milk of buffalo,1990,888.39
Albania,Raw milk of buffalo,1991,814.36
Albania,Raw milk of buffalo,1992,740.33
Albania,Raw milk of buffalo,1993,629.28
Albania,Raw milk of buffalo,1994,88.84
Albania,Raw milk of buffalo,1995,100.43
Albania,Raw milk of buffalo,1996,51.82
Albania,Raw milk of buffalo,1997,51.82
Albania,Raw milk of buffalo,1998,51.82
Albania,Raw milk of buffalo,1999,51.82
Albania,Raw milk of buffalo,2000,51.82
Albania,Raw milk of buffalo,2001,51.82
Albania,Raw milk of buffalo,2002,51.82
Albania,Raw milk of buffalo,2003,51.82
Albania,Raw milk of buffalo,2004,51.82
Albania,Raw milk of buffalo,2005,51.82
Albania,Raw milk of buffalo,2006,66.63
Albania,Raw milk of buffalo,2007,66.63
Albania,Raw milk of buffalo,2008,59.23
Albania,Raw milk of buffalo,2009,59.23
Albania,Raw milk of buffalo,2010,100.32
Albania,Raw milk of buffalo,2011,100.36
Albania,Raw milk of buffalo,2012,100.41
Albania,Raw milk of buffalo,2013,100.46
Albania,Raw milk of buffalo,2014,100.51
Albania,Raw milk of buffalo,2015,99.3
Albania,Raw milk of buffalo,2016,100.19
Albania,Raw milk of buffalo,2017,98.61
Albania,Raw milk of buffalo,2018,99.37
Albania,Raw milk of buffalo,2019,99.39
Albania,Raw milk of buffalo,2020,94.05
Albania,Raw milk of buffalo,2021,94.1
Albania,Raw milk of cattle,1961,7.85
Albania,Raw milk of cattle,1962,8.06
Albania,Raw milk of cattle,1963,8.52
Albania,Raw milk of cattle,1964,9.03
Albania,Raw milk of cattle,1965,9.66
Albania,Raw milk of cattle,1966,10.23
Albania,Raw milk of cattle,1967,11.56
Albania,Raw milk of cattle,1968,12.0
Albania,Raw milk of cattle,1969,13.06
Albania,Raw milk of cattle,1970,14.72
Albania,Raw milk of cattle,1971,17.4
Albania,Raw milk of cattle,1972,18.55
Albania,Raw milk of cattle,1973,21.22
Albania,Raw milk of cattle,1974,21.06
Albania,Raw milk of cattle,1975,21.56
Albania,Raw milk of cattle,1976,22.3
Albania,Raw milk of cattle,1977,24.87
Albania,Raw milk of cattle,1978,27.08
Albania,Raw milk of cattle,1979,28.48
Albania,Raw milk of cattle,1980,29.42
Albania,Raw milk of cattle,1981,31.14
Albania,Raw milk of cattle,1982,31.49
Albania,Raw milk of cattle,1983,32.55
